year,total_patents,ai_patents_50,ai_patents_86,ai_patents_93,ai_share_86,yoy_growth
1976,70511,1761,923,829,1.31,
1977,65494,1756,901,816,1.38,-2.3835319609967542
1978,66338,1695,877,803,1.32,-2.663706992230852
1979,49102,1365,731,659,1.49,-16.64766248574686
1980,62011,1750,914,827,1.47,25.034199726402196
1981,66052,1742,927,837,1.4,1.422319474835887
1982,58074,1684,894,810,1.54,-3.5598705501618144
1983,57148,1646,888,800,1.55,-0.6711409395973145
1984,67430,2105,1189,1084,1.76,33.89639639639639
1985,71863,2434,1327,1197,1.85,11.606391925988223
1986,71056,2564,1416,1296,1.99,6.706857573474001
1987,83121,3486,2014,1827,2.42,42.231638418079086
1988,78126,3264,1929,1797,2.47,-4.220456802383321
1989,95808,4467,2713,2486,2.83,40.64282011404874
1990,90680,4308,2652,2467,2.92,-2.248433468485067
1991,96707,4704,2954,2741,3.05,11.387631975867274
1992,97748,5053,3201,2992,3.27,8.361543669600536
1993,98590,5732,3703,3449,3.76,15.682599187753832
1994,101938,6517,4252,3967,4.17,14.825816905211987
1995,101669,7017,4564,4291,4.49,7.3377234242709255
1996,109860,8577,5674,5317,5.16,24.3207712532866
1997,112205,8826,5837,5461,5.2,2.872752908001419
1998,147769,13810,9485,8936,6.42,62.497858488949795
1999,153876,14315,9752,9154,6.34,2.814971006852929
2000,157970,14584,9759,9137,6.18,0.07178014766202612
2001,222843,22121,15103,14186,6.78,54.75970898657649
2002,366072,45082,31539,29724,8.62,108.82606104747401
2003,405677,52449,36981,34847,9.12,17.254827356606107
2004,432229,57750,40725,38443,9.42,10.124117790216602
2005,432848,62752,44557,42111,10.29,9.409453652547572
2006,468065,73015,51971,49152,11.1,16.639360818726566
2007,457131,74677,53723,50831,11.75,3.371110811798883
2008,478236,84192,61205,57975,12.8,13.926995886305683
2009,495322,88428,64430,61180,13.01,5.269177354791266
2010,553084,97891,70908,67226,12.82,10.054322520564952
2011,545964,99123,72085,68400,13.2,1.6598973317538235
2012,584747,116410,86001,81571,14.71,19.304987167926747
2013,624526,131000,97398,92722,15.6,13.252171486378073
2014,679855,149833,111467,106017,16.4,14.444855130495494
2015,679538,147871,109683,104321,16.14,-1.6004736827940125
2016,683274,153142,114326,108809,16.73,4.233108138909403
2017,692166,159718,119824,114009,17.31,4.809054808180124
2018,683417,162474,123032,117387,18.0,2.677259981305924
2019,748699,189301,145026,138768,19.37,17.876649977241698
2020,765058,203874,158571,152032,20.73,9.33970460469158
2021,737352,203896,160662,154295,21.79,1.3186522125735456
2022,741214,208165,164979,158715,22.26,2.687007506442085
2023,729079,211740,169136,163038,23.2,2.519714630346903
