year,subfield,subfield_label,patents_50,patents_86,patents_93,avg_score
2018,ml,Machine Learning,23283,16998,16174,0.0372758107430755
2018,nlp,Natural Language Processing,26032,19706,18928,0.0462237399302606
2018,vision,Computer Vision,48852,36650,34983,0.07726291809800098
2018,speech,Speech Recognition,10309,8489,8246,0.01675648792115802
2018,planning,Planning & Reasoning,71618,52687,49947,0.11042426230496293
2018,evo,Evolutionary Computation,13406,6383,5637,0.026627257353842217
2018,kr,Knowledge Representation,49004,30247,27694,0.07836419207808445
2018,hardware,AI Hardware,67306,44099,40804,0.10511718709792081
2019,ml,Machine Learning,31785,24179,23118,0.045772222235167206
2019,nlp,Natural Language Processing,31044,23601,22636,0.049664690837447435
2019,vision,Computer Vision,59162,44685,42736,0.08490094966900277
2019,speech,Speech Recognition,12476,10289,9976,0.018304211894620448
2019,planning,Planning & Reasoning,85275,63288,60113,0.11942104380804813
2019,evo,Evolutionary Computation,16324,7955,7079,0.029074412393556456
2019,kr,Knowledge Representation,58941,36671,33768,0.08528496322566104
2019,hardware,AI Hardware,81246,54560,50743,0.11497276345825232
2020,ml,Machine Learning,39416,30991,29852,0.054788535130348676
2020,nlp,Natural Language Processing,33875,26092,25031,0.052811097277990895
2020,vision,Computer Vision,66459,50917,48874,0.09279177219740872
2020,speech,Speech Recognition,13978,11504,11166,0.01994608616659827
2020,planning,Planning & Reasoning,94141,70807,67361,0.1284850786060951
2020,evo,Evolutionary Computation,18488,9154,8095,0.03153757968272762
2020,kr,Knowledge Representation,65046,40587,37257,0.09149844190984191
2020,hardware,AI Hardware,90352,62099,57912,0.12446008167950957
2021,ml,Machine Learning,44976,36400,35175,0.06424860670521719
2021,nlp,Natural Language Processing,35557,27363,26243,0.056757858617288486
2021,vision,Computer Vision,68805,53292,51091,0.09931192480248825
2021,speech,Speech Recognition,13914,11534,11182,0.02054784238632678
2021,planning,Planning & Reasoning,96252,73076,69589,0.13615336109753162
2021,evo,Evolutionary Computation,19165,9599,8567,0.03382760939060476
2021,kr,Knowledge Representation,67055,42344,38890,0.09751270610696079
2021,hardware,AI Hardware,93077,64779,60653,0.13261741646263545
2022,ml,Machine Learning,50143,41459,40215,0.07083949080914656
2022,nlp,Natural Language Processing,36059,27774,26646,0.05743107710784561
2022,vision,Computer Vision,72152,56043,53834,0.10301788819097472
2022,speech,Speech Recognition,14219,11790,11429,0.020977967519024542
2022,planning,Planning & Reasoning,99042,75364,71832,0.13919134167860403
2022,evo,Evolutionary Computation,20768,10529,9420,0.035801823751717574
2022,kr,Knowledge Representation,68727,43419,40009,0.0993513358134527
2022,hardware,AI Hardware,97258,69035,64831,0.1376469447176254
2023,ml,Machine Learning,55034,45995,44708,0.0785425226083636
2023,nlp,Natural Language Processing,37619,29055,27886,0.060547325061462376
2023,vision,Computer Vision,73767,57543,55220,0.10712006658442971
2023,speech,Speech Recognition,14868,12284,11935,0.02219976905487987
2023,planning,Planning & Reasoning,103424,79200,75655,0.14737367563647025
2023,evo,Evolutionary Computation,21894,11228,10050,0.03801632465522031
2023,kr,Knowledge Representation,71396,45253,41629,0.1046937325833732
2023,hardware,AI Hardware,101174,72776,68388,0.14512052172141668
2001,ml,Machine Learning,1961,1263,1171,0.01120127178296026
2001,nlp,Natural Language Processing,2780,2040,1936,0.01992247989031509
2001,vision,Computer Vision,6567,4601,4360,0.034170364875999754
2001,speech,Speech Recognition,1556,1308,1274,0.008162668203261258
2001,planning,Planning & Reasoning,7045,4556,4239,0.0353588983205261
2001,evo,Evolutionary Computation,996,415,363,0.008275557621640414
2001,kr,Knowledge Representation,3398,1906,1703,0.01849385604220029
2001,hardware,AI Hardware,8214,5076,4624,0.04214620541974323
2002,ml,Machine Learning,4427,2818,2630,0.014882220773543288
2002,nlp,Natural Language Processing,6523,4745,4504,0.02505733930663595
2002,vision,Computer Vision,11932,8311,7891,0.03755746538208264
2002,speech,Speech Recognition,3195,2646,2569,0.009904555272196358
2002,planning,Planning & Reasoning,16653,11433,10728,0.04922490667864394
2002,evo,Evolutionary Computation,2106,891,760,0.010023839776258316
2002,kr,Knowledge Representation,9071,5289,4812,0.028540922086827982
2002,hardware,AI Hardware,16566,10115,9303,0.0509606043991293
2003,ml,Machine Learning,5347,3504,3260,0.01611004255215007
2003,nlp,Natural Language Processing,7003,5044,4805,0.02452752387648189
2003,vision,Computer Vision,13979,9861,9330,0.0392744909099964
2003,speech,Speech Recognition,3400,2746,2660,0.009536233435320455
2003,planning,Planning & Reasoning,19233,13396,12532,0.05142511908447072
2003,evo,Evolutionary Computation,2961,1258,1095,0.012250402201167354
2003,kr,Knowledge Representation,10785,6344,5780,0.030313477246550855
2003,hardware,AI Hardware,19839,12487,11474,0.05492268753550528
2004,ml,Machine Learning,5719,3708,3446,0.016156585931844488
2004,nlp,Natural Language Processing,7787,5563,5304,0.025182952634614918
2004,vision,Computer Vision,15537,11070,10529,0.04076025974152701
2004,speech,Speech Recognition,3675,2989,2892,0.00969661868367536
2004,planning,Planning & Reasoning,21099,14524,13660,0.053096554949451494
2004,evo,Evolutionary Computation,3107,1339,1138,0.011616555073555601
2004,kr,Knowledge Representation,11714,6898,6268,0.031272943686860885
2004,hardware,AI Hardware,22350,14099,12926,0.05772642842221867
2005,ml,Machine Learning,6188,4046,3790,0.017340782792883706
2005,nlp,Natural Language Processing,8750,6353,6046,0.027586811779415746
2005,vision,Computer Vision,16914,12122,11495,0.04423273030908512
2005,speech,Speech Recognition,3908,3138,3047,0.010315790480903145
2005,planning,Planning & Reasoning,22894,16009,15065,0.057473878488001395
2005,evo,Evolutionary Computation,3596,1588,1387,0.012941842860486889
2005,kr,Knowledge Representation,13682,8084,7409,0.03595234041657286
2005,hardware,AI Hardware,24238,15136,13947,0.06202606245642712
2006,ml,Machine Learning,7420,4779,4452,0.01884933665811835
2006,nlp,Natural Language Processing,10394,7662,7292,0.02965160345751251
2006,vision,Computer Vision,19667,14239,13518,0.04735788398462917
2006,speech,Speech Recognition,4537,3671,3557,0.010999531270873516
2006,planning,Planning & Reasoning,26937,18685,17560,0.06196719112072733
2006,evo,Evolutionary Computation,4202,1825,1589,0.013944963795720284
2006,kr,Knowledge Representation,16364,9605,8790,0.03978382767515479
2006,hardware,AI Hardware,28602,17916,16479,0.06728000603068411
2007,ml,Machine Learning,7906,5229,4906,0.02044337219922592
2007,nlp,Natural Language Processing,11546,8621,8242,0.032752338816702975
2007,vision,Computer Vision,19961,14271,13589,0.04886596163290655
2007,speech,Speech Recognition,4758,3847,3721,0.011781927663384324
2007,planning,Planning & Reasoning,28142,19856,18671,0.06622904426514245
2007,evo,Evolutionary Computation,4478,1981,1736,0.014894189621118856
2007,kr,Knowledge Representation,18107,11033,10081,0.044644143890391855
2007,hardware,AI Hardware,28791,18112,16632,0.06942433086291493
2008,ml,Machine Learning,9426,6245,5852,0.022960009669843816
2008,nlp,Natural Language Processing,13297,9808,9370,0.035456265376515556
2008,vision,Computer Vision,22210,16244,15417,0.05205320811949568
2008,speech,Speech Recognition,5052,4076,3941,0.011976161775734124
2008,planning,Planning & Reasoning,32381,23147,21883,0.07246495004191716
2008,evo,Evolutionary Computation,5232,2423,2127,0.016310605584754147
2008,kr,Knowledge Representation,21509,13203,12074,0.050282158569714415
2008,hardware,AI Hardware,33133,20866,19157,0.0757333894875761
2009,ml,Machine Learning,10086,6613,6152,0.023534522118644513
2009,nlp,Natural Language Processing,14100,10512,10037,0.03595996317447789
2009,vision,Computer Vision,23800,17260,16495,0.05340940744180992
2009,speech,Speech Recognition,5005,3980,3848,0.011506025676151329
2009,planning,Planning & Reasoning,34276,24550,23219,0.07404931436580266
2009,evo,Evolutionary Computation,5787,2650,2319,0.017240692042447804
2009,kr,Knowledge Representation,23214,14309,13171,0.052105430762491516
2009,hardware,AI Hardware,34735,22225,20371,0.07668994287906436
2010,ml,Machine Learning,11128,7360,6876,0.023227099753823803
2010,nlp,Natural Language Processing,14957,11068,10544,0.034529485564845086
2010,vision,Computer Vision,26901,19545,18645,0.053867227393847805
2010,speech,Speech Recognition,5232,4141,3986,0.010801704354235667
2010,planning,Planning & Reasoning,38227,27039,25548,0.07378153307758901
2010,evo,Evolutionary Computation,6621,3100,2703,0.017508163317301876
