year,threshold_50,threshold_86,threshold_93
1976,1761,923,829
1977,1756,901,816
1978,1695,877,803
1979,1365,731,659
1980,1750,914,827
1981,1742,927,837
1982,1684,894,810
1983,1646,888,800
1984,2105,1189,1084
1985,2434,1327,1197
1986,2564,1416,1296
1987,3486,2014,1827
1988,3264,1929,1797
1989,4467,2713,2486
1990,4308,2652,2467
1991,4704,2954,2741
1992,5053,3201,2992
1993,5732,3703,3449
1994,6517,4252,3967
1995,7017,4564,4291
1996,8577,5674,5317
1997,8826,5837,5461
1998,13810,9485,8936
1999,14315,9752,9154
2000,14584,9759,9137
2001,22121,15103,14186
2002,45082,31539,29724
2003,52449,36981,34847
2004,57750,40725,38443
2005,62752,44557,42111
2006,73015,51971,49152
2007,74677,53723,50831
2008,84192,61205,57975
2009,88428,64430,61180
2010,97891,70908,67226
2011,99123,72085,68400
2012,116410,86001,81571
2013,131000,97398,92722
2014,149833,111467,106017
2015,147871,109683,104321
2016,153142,114326,108809
2017,159718,119824,114009
2018,162474,123032,117387
2019,189301,145026,138768
2020,203874,158571,152032
2021,203896,160662,154295
2022,208165,164979,158715
2023,211740,169136,163038
