year,dominant_subfield,subfield_label,patents
2018,evo,Evolutionary Computation,2796
2018,hardware,AI Hardware,23079
2018,kr,Knowledge Representation,9900
2018,ml,Machine Learning,4015
2018,nlp,Natural Language Processing,12102
2018,planning,Planning & Reasoning,35864
2018,speech,Speech Recognition,4470
2018,vision,Computer Vision,30806
2019,evo,Evolutionary Computation,3308
2019,hardware,AI Hardware,26551
2019,kr,Knowledge Representation,11109
2019,ml,Machine Learning,6555
2019,nlp,Natural Language Processing,14041
2019,planning,Planning & Reasoning,41792
2019,speech,Speech Recognition,5114
2019,vision,Computer Vision,36556
2020,evo,Evolutionary Computation,3657
2020,hardware,AI Hardware,27976
2020,kr,Knowledge Representation,11520
2020,ml,Machine Learning,9215
2020,nlp,Natural Language Processing,15184
2020,planning,Planning & Reasoning,45463
2020,speech,Speech Recognition,5339
2020,vision,Computer Vision,40217
2021,evo,Evolutionary Computation,3529
2021,hardware,AI Hardware,27272
2021,kr,Knowledge Representation,11352
2021,ml,Machine Learning,11555
2021,nlp,Natural Language Processing,15470
2021,planning,Planning & Reasoning,45499
2021,speech,Speech Recognition,5000
2021,vision,Computer Vision,40985
2022,evo,Evolutionary Computation,3795
2022,hardware,AI Hardware,27840
2022,kr,Knowledge Representation,11092
2022,ml,Machine Learning,13997
2022,nlp,Natural Language Processing,15020
2022,planning,Planning & Reasoning,46118
2022,speech,Speech Recognition,5092
2022,vision,Computer Vision,42025
2023,evo,Evolutionary Computation,3940
2023,hardware,AI Hardware,28003
2023,kr,Knowledge Representation,11030
2023,ml,Machine Learning,15836
2023,nlp,Natural Language Processing,15776
2023,planning,Planning & Reasoning,47438
2023,speech,Speech Recognition,5129
2023,vision,Computer Vision,41984
2001,evo,Evolutionary Computation,259
2001,hardware,AI Hardware,3717
2001,kr,Knowledge Representation,721
2001,ml,Machine Learning,334
2001,nlp,Natural Language Processing,1300
2001,planning,Planning & Reasoning,3591
2001,speech,Speech Recognition,928
2001,vision,Computer Vision,4253
2002,evo,Evolutionary Computation,478
2002,hardware,AI Hardware,6918
2002,kr,Knowledge Representation,2073
2002,ml,Machine Learning,749
2002,nlp,Natural Language Processing,3146
2002,planning,Planning & Reasoning,8976
2002,speech,Speech Recognition,1761
2002,vision,Computer Vision,7438
2003,evo,Evolutionary Computation,740
2003,hardware,AI Hardware,8541
2003,kr,Knowledge Representation,2411
2003,ml,Machine Learning,960
2003,nlp,Natural Language Processing,3254
2003,planning,Planning & Reasoning,10380
2003,speech,Speech Recognition,1848
2003,vision,Computer Vision,8847
2004,evo,Evolutionary Computation,692
2004,hardware,AI Hardware,9806
2004,kr,Knowledge Representation,2581
2004,ml,Machine Learning,993
2004,nlp,Natural Language Processing,3569
2004,planning,Planning & Reasoning,11083
2004,speech,Speech Recognition,2036
